ภูมิภาคอย่างเป็นทางการ,All,,,
กรุงเทพปริมณฑลต่างจังหวัด,All,,,
,,,,
ProvinceThai,DistrictThaiShort,Distinct Count of PostCode,All Post Code,
,เมืองนครปฐม,1,73000,
,สามพราน,4,73110/73160/73210/73220,
นครปฐม Total,,12,73000/73110/73120/73130/73140/73150/73160/73170/73180/73190/73210/73220,
นครพนม,ท่าอุเทน,1,48120,
,ธาตุพนม,1,48110,
,นาแก,1,48130,
,นาทม,1,48140,
,นาหว้า,1,48180,
,บ้านแพง,1,48140,
,ปลาปาก,1,48160,
,โพนสวรรค์,1,48190,
,เมืองนครพนม,1,48000,
,เรณูนคร,1,48170,
,วังยาง,1,48130,
,ศรีสงคราม,1,48150,
นครพนม Total,,10,48000/48110/48120/48130/48140/48150/48160/48170/48180/48190,
นครราชสีมา,แก้งสนามนาง,1,30440,
,ขามทะเลสอ,1,30280,
,ขามสะแกแสง,1,30290,
,คง,1,30260,
,ครบุรี,1,30250,
,จักราช,1,30230,
,เฉลิมพระเกียรติ,2,30000/30230,
,ชุมพวง,1,30270,
,โชคชัย,1,30190,
,ด่านขุนทด,2,30210/36220,
,เทพารักษ์,1,30210,
,โนนแดง,1,30360,
,โนนไทย,1,30220,
,โนนสูง,2,30160/30420,
,บัวลาย,1,30120,
,บัวใหญ่,1,30120,
,บ้านเหลื่อม,1,30350,
,ประทาย,1,30180,
,ปักธงชัย,1,30150,
,ปากช่อง,2,30130/30320,
,พระทองคำ,1,30220,
,พิมาย,1,30110,
,เมืองนครราชสีมา,3,30000/30280/30310,
,เมืองยาง,1,30270,
,ลำทะเมนชัย,1,30270,
,วังน้ำเขียว,2,30150/30370,
,สีคิ้ว,2,30140/30340,
,สีดา,1,30430,
,สูงเนิน,2,30170/30380,
,เสิงสาง,1,30330,
,หนองบุญมาก,1,30410,
,ห้วยแถลง,1,30240,
นครราชสีมา Total,,32,30000/30110/30120/30130/30140/30150/30160/30170/30180/30190/30210/30220/30230/30240/30250/30260/30270/30280/30290/30310/30320/30330/30340/30350/30360/30370/30380/30410/30420/30430/30440/36220,
นครศรีธรรมราช,ขนอม,1,80210,
