ภูมิภาคอย่างเป็นทางการ,All,,,
กรุงเทพปริมณฑลต่างจังหวัด,All,,,
,,,,
PostCode,Distinct Count of ProvinceThai,ProvinceList,,
32180,1,สุรินทร์,,
32190,1,สุรินทร์,,
32210,1,สุรินทร์,,
32220,1,สุรินทร์,,
32230,1,สุรินทร์,,
33000,1,ศรีสะเกษ,,
33110,1,ศรีสะเกษ,,
33120,1,ศรีสะเกษ,,
33130,1,ศรีสะเกษ,,
33140,1,ศรีสะเกษ,,
33150,1,ศรีสะเกษ,,
33160,1,ศรีสะเกษ,,
33170,1,ศรีสะเกษ,,
33180,1,ศรีสะเกษ,,
33190,1,ศรีสะเกษ,,
33210,1,ศรีสะเกษ,,
33220,1,ศรีสะเกษ,,
33230,1,ศรีสะเกษ,,
33240,1,ศรีสะเกษ,,
33250,1,ศรีสะเกษ,,
33270,1,ศรีสะเกษ,,
34000,1,อุบลราชธานี,,
34110,1,อุบลราชธานี,,
34130,1,อุบลราชธานี,,
34140,1,อุบลราชธานี,,
34150,1,อุบลราชธานี,,
34160,1,อุบลราชธานี,,
34170,1,อุบลราชธานี,,
34190,1,อุบลราชธานี,,
34220,1,อุบลราชธานี,,
34230,1,อุบลราชธานี,,
34250,1,อุบลราชธานี,,
34260,1,อุบลราชธานี,,
34270,1,อุบลราชธานี,,
34280,1,อุบลราชธานี,,
34310,1,อุบลราชธานี,,
34320,1,อุบลราชธานี,,
34330,1,อุบลราชธานี,,
34340,1,อุบลราชธานี,,
34350,1,อุบลราชธานี,,
34360,1,อุบลราชธานี,,
35000,1,ยโสธร,,
35110,1,ยโสธร,,
35120,1,ยโสธร,,
35130,1,ยโสธร,,
35140,1,ยโสธร,,
35150,1,ยโสธร,,
35160,1,ยโสธร,,
35170,1,ยโสธร,,
35180,1,ยโสธร,,
36000,1,ชัยภูมิ,,
36110,1,ชัยภูมิ,,
36120,1,ชัยภูมิ,,
36130,1,ชัยภูมิ,,
36140,1,ชัยภูมิ,,
36150,1,ชัยภูมิ,,
36160,1,ชัยภูมิ,,
36170,1,ชัยภูมิ,,
36180,1,ชัยภูมิ,,
36190,1,ชัยภูมิ,,
36210,1,ชัยภูมิ,,
36220,2,ชัยภูมิ / นครราชสีมา,,
36230,1,ชัยภูมิ,,
36240,1,ชัยภูมิ,,
36250,1,ชัยภูมิ,,
36260,1,ชัยภูมิ,,
37000,1,อำนาจเจริญ,,
37110,1,อำนาจเจริญ,,
37120,1,อำนาจเจริญ,,
37180,1,อำนาจเจริญ,,
37210,1,อำนาจเจริญ,,
37240,1,อำนาจเจริญ,,
37290,1,อำนาจเจริญ,,
38000,1,บึงกาฬ,,
38150,1,บึงกาฬ,,
38170,1,บึงกาฬ,,
38180,1,บึงกาฬ,,
38190,1,บึงกาฬ,,
38210,1,บึงกาฬ,,
38220,1,บึงกาฬ,,
39000,1,หนองบัวลำภู,,
39140,1,หนองบัวลำภู,,
39170,1,หนองบัวลำภู,,
39180,1,หนองบัวลำภู,,
39270,1,หนองบัวลำภู,,
39350,1,หนองบัวลำภู,,
40000,1,ขอนแก่น,,
40002,1,ขอนแก่น,,
40110,1,ขอนแก่น,,
40120,1,ขอนแก่น,,
40130,1,ขอนแก่น,,
40140,1,ขอนแก่น,,
40150,1,ขอนแก่น,,
40160,1,ขอนแก่น,,
40170,1,ขอนแก่น,,
40180,1,ขอนแก่น,,
40190,1,ขอนแก่น,,
40210,1,ขอนแก่น,,
40220,1,ขอนแก่น,,
40230,1,ขอนแก่น,,
40240,1,ขอนแก่น,,
40250,1,ขอนแก่น,,
40260,1,ขอนแก่น,,
40270,1,ขอนแก่น,,
40280,1,ขอนแก่น,,
40290,1,ขอนแก่น,,
40310,1,ขอนแก่น,,
40320,1,ขอนแก่น,,
40330,1,ขอนแก่น,,
40340,1,ขอนแก่น,,
40350,1,ขอนแก่น,,
41000,1,อุดรธานี,,
41110,1,อุดรธานี,,
41130,1,อุดรธานี,,
41150,1,อุดรธานี,,
41160,1,อุดรธานี,,
41190,1,อุดรธานี,,
41210,1,อุดรธานี,,
41220,1,อุดรธานี,,
41230,1,อุดรธานี,,
41240,1,อุดรธานี,,
41250,1,อุดรธานี,,
41260,1,อุดรธานี,,
41280,1,อุดรธานี,,
41290,1,อุดรธานี,,
41310,1,อุดรธานี,,
41320,1,อุดรธานี,,
